entity_id,canonical_name,entity_type,host,is_malicious,stage,first_seen,last_seen,description
ENT0001,/etc/cron.d/syswatch,file,ws-finance-01,1,PE/Persistence,2026-01-20 10:05:44,2026-01-20 10:08:30,destination entity in PE
ENT0002,/etc/hosts,file,ws-finance-01,1,Discovery,2026-01-20 09:36:29,2026-01-20 10:20:07,destination entity in Discovery
ENT0003,/home/u_fin/.cache/update-check,file,ws-finance-01,1,IA,2026-01-20 09:25:13,2026-01-20 09:25:20,destination entity in IA
ENT0004,/home/u_fin/.config/portal/session.dat,file,ws-finance-01,1,Discovery,2026-01-20 09:52:04,2026-01-20 09:52:04,destination entity in Discovery
ENT0005,/home/u_fin/.ssh/config,file,ws-finance-01,1,Discovery,2026-01-20 09:36:10,2026-01-20 09:36:10,destination entity in Discovery
ENT0006,/home/u_fin/.ssh/known_hosts,file,ws-finance-01,1,Discovery,2026-01-20 10:20:16,2026-01-20 10:20:16,destination entity in Discovery
ENT0007,/home/u_fin/Downloads/report_update.pdf,file,ws-finance-01,1,Defense-Evasion/IA,2026-01-20 09:24:51,2026-01-20 10:12:12,destination entity in IA
ENT0008,/srv/share/finance/budget.xlsx,file,file-srv-01,1,Collection,2026-01-20 11:07:41,2026-01-20 11:07:41,destination entity in Collection
ENT0009,/srv/share/finance/budget.xlsx,file,ws-finance-01,1,Collection,2026-01-20 11:10:12,2026-01-20 11:10:12,destination entity in Collection
ENT0010,/srv/share/hr/staff.csv,file,file-srv-01,1,Collection,2026-01-20 11:09:18,2026-01-20 11:09:18,destination entity in Collection
ENT0011,/srv/share/hr/staff.csv,file,ws-finance-01,1,Collection,2026-01-20 11:10:20,2026-01-20 11:10:20,destination entity in Collection
ENT0012,/tmp/.session-x1,file,ws-finance-01,1,C2/Execution/Exfiltration/Persistence,2026-01-20 09:29:48,2026-01-20 13:41:50,destination entity in Execution
ENT0013,/tmp/finance_pack.tmp,file,ws-finance-01,1,Collection/Exfiltration,2026-01-20 11:10:38,2026-01-20 13:36:18,destination entity in Collection
ENT0014,/usr/bin/hostname,file,ws-finance-01,1,Discovery,2026-01-20 09:37:17,2026-01-20 09:37:17,destination entity in Discovery
ENT0015,/usr/bin/maintenance-helper,file,ws-finance-01,1,PE,2026-01-20 10:04:58,2026-01-20 10:04:58,destination entity in PE
ENT0016,/usr/bin/whoami,file,ws-finance-01,1,Discovery,2026-01-20 09:37:08,2026-01-20 09:37:08,destination entity in Discovery
ENT0017,/usr/local/bin/syswatch,file,ws-finance-01,1,PE,2026-01-20 10:05:17,2026-01-20 10:05:29,destination entity in PE
ENT0018,/var/www/portal/.cache/.sync-state,file,portal-web-01,1,Persistence,2026-01-20 12:20:14,2026-01-20 12:20:14,destination entity in Persistence
ENT0019,/var/www/portal/.cache/portal-sync,file,portal-web-01,1,C2/Persistence,2026-01-20 12:02:35,2026-01-20 12:44:28,destination entity in Persistence
ENT0020,/var/www/portal/app.py,file,portal-web-01,1,Discovery,2026-01-20 12:04:09,2026-01-20 12:04:09,destination entity in Discovery
ENT0021,10.20.1.21:445,socket,internal,1,Collection/Discovery,2026-01-20 09:38:40,2026-01-20 11:05:16,destination entity in Discovery
ENT0022,10.20.1.31:22,socket,internal,1,Lateral,2026-01-20 12:01:15,2026-01-20 12:01:15,destination entity in Lateral
ENT0023,10.20.1.31:443,socket,internal,1,Discovery,2026-01-20 09:39:16,2026-01-20 10:22:31,destination entity in Discovery
ENT0024,198.51.100.23:443,socket,external,1,IA,2026-01-20 09:24:18,2026-01-20 09:24:18,destination entity in IA
ENT0025,198.51.100.77:443,socket,external,1,C2,2026-01-20 12:31:12,2026-01-20 14:42:31,destination entity in C2
ENT0026,203.0.113.88:443,socket,external,1,Exfiltration,2026-01-20 13:36:25,2026-01-20 13:36:25,destination entity in Exfiltration
ENT0027,bash:2502@ws-finance-01,process,ws-finance-01,1,Discovery,2026-01-20 09:37:05,2026-01-20 09:37:17,destination entity in Discovery
ENT0028,cron:902@ws-finance-01,process,ws-finance-01,1,C2/Persistence,2026-01-20 10:08:30,2026-01-20 14:10:04,source entity in Persistence
ENT0029,firefox:2412@ws-finance-01,process,ws-finance-01,1,IA,2026-01-20 09:24:18,2026-01-20 09:25:06,source entity in IA
ENT0030,maintenance-helper:3008@ws-finance-01,process,ws-finance-01,1,PE,2026-01-20 10:05:06,2026-01-20 10:05:06,source entity in PE
ENT0031,portal-sync:4022@portal-web-01,process,portal-web-01,1,C2/Discovery/Persistence,2026-01-20 12:04:09,2026-01-20 14:42:31,source entity in Discovery
ENT0032,sh:3011@ws-finance-01,process,ws-finance-01,1,Defense-Evasion/PE,2026-01-20 10:05:06,2026-01-20 10:12:12,destination entity in PE
ENT0033,sh:4015@portal-web-01,process,portal-web-01,1,Lateral/Persistence,2026-01-20 12:02:01,2026-01-20 12:02:50,destination entity in Lateral
ENT0034,smbd:1170@file-srv-01,process,file-srv-01,1,Collection,2026-01-20 11:07:41,2026-01-20 11:09:18,source entity in Collection
ENT0035,sshd:1288@portal-web-01,process,portal-web-01,1,Lateral,2026-01-20 12:02:01,2026-01-20 12:02:01,source entity in Lateral
ENT0036,syswatch:3280@ws-finance-01,process,ws-finance-01,1,C2/Collection/Discovery/Exfiltration/Lateral/Persistence,2026-01-20 10:20:03,2026-01-20 13:41:50,destination entity in Persistence
ENT0037,syswatch:4890@ws-finance-01,process,ws-finance-01,1,C2,2026-01-20 14:10:04,2026-01-20 14:10:22,destination entity in C2
ENT0038,tar:3412@ws-finance-01,process,ws-finance-01,1,Collection,2026-01-20 11:10:02,2026-01-20 11:10:38,destination entity in Collection
ENT0039,update-check:2440@ws-finance-01,process,ws-finance-01,1,Discovery/Execution/IA/PE,2026-01-20 09:25:06,2026-01-20 10:04:58,destination entity in IA
