metric_id,timestamp,window_id,host,cpu_percent,mem_percent,disk_read_bytes,disk_write_bytes,net_in_bytes,net_out_bytes,proc_count,file_open_count,login_count,top_process_hint,metric_note,label,stage,attack_step
M000003,2026-01-20 09:00:00,W000,file-srv-01,16.45,42.14,197836,82869,9738,10518,95,448,0,smbd,normal baseline,benign,benign,benign
M000005,2026-01-20 09:00:00,W000,mon-srv-01,25.76,60.73,127466,142951,10276,11837,115,437,0,prometheus,normal baseline,benign,benign,benign
M000004,2026-01-20 09:00:00,W000,portal-web-01,18.71,56.33,104478,120226,7756,6459,106,438,0,nginx,normal baseline,benign,benign,benign
M000002,2026-01-20 09:00:00,W000,ws-dev-02,24.28,51.97,152200,88559,3439,4713,122,362,1,dev-shell,normal baseline,benign,benign,benign
M000001,2026-01-20 09:00:00,W000,ws-finance-01,15.57,46.38,91525,87257,3423,5305,113,286,1,office-apps,normal baseline,benign,benign,benign
M000008,2026-01-20 09:01:00,W000,file-srv-01,13.47,42.69,135228,98675,12819,12901,95,444,0,smbd,normal baseline,benign,benign,benign
M000010,2026-01-20 09:01:00,W000,mon-srv-01,25.75,63.11,146222,186763,9725,9094,121,410,0,prometheus,normal baseline,benign,benign,benign
M000009,2026-01-20 09:01:00,W000,portal-web-01,19.31,55.59,86017,95246,8966,9536,102,344,0,nginx,normal baseline,benign,benign,benign
M000007,2026-01-20 09:01:00,W000,ws-dev-02,17.57,50.83,147536,81551,5578,6969,124,364,1,dev-shell,normal baseline,benign,benign,benign
M000006,2026-01-20 09:01:00,W000,ws-finance-01,17.07,45.74,94494,82916,4925,3828,112,279,1,office-apps,normal baseline,benign,benign,benign
M000013,2026-01-20 09:02:00,W000,file-srv-01,17.51,42.37,229421,84097,6252,8797,94,416,0,smbd,normal baseline,benign,benign,benign
M000015,2026-01-20 09:02:00,W000,mon-srv-01,22.31,61.59,141174,222090,19536,12428,118,396,0,prometheus,normal baseline,benign,benign,benign
M000014,2026-01-20 09:02:00,W000,portal-web-01,21.3,54.88,61988,112517,5793,6402,97,373,0,nginx,normal baseline,benign,benign,benign
M000012,2026-01-20 09:02:00,W000,ws-dev-02,21.74,50.41,166211,118541,2075,4652,122,349,1,dev-shell,normal baseline,benign,benign,benign
M000011,2026-01-20 09:02:00,W000,ws-finance-01,20.5,47.59,96321,77248,3001,4026,108,333,1,office-apps,normal baseline,benign,benign,benign
M000018,2026-01-20 09:03:00,W000,file-srv-01,15.64,43.68,145461,124601,8559,12508,92,430,0,smbd,normal baseline,benign,benign,benign
M000020,2026-01-20 09:03:00,W000,mon-srv-01,26.06,61.63,158941,168323,19310,8080,117,437,0,prometheus,normal baseline,benign,benign,benign
M000019,2026-01-20 09:03:00,W000,portal-web-01,21.88,56.33,94822,116108,10789,7079,108,359,0,nginx,normal baseline,benign,benign,benign
M000017,2026-01-20 09:03:00,W000,ws-dev-02,21.16,51.83,133849,130894,6949,4416,128,373,1,dev-shell,normal baseline,benign,benign,benign
M000016,2026-01-20 09:03:00,W000,ws-finance-01,19.84,47.28,92467,75757,4823,5207,109,322,1,office-apps,normal baseline,benign,benign,benign
M000023,2026-01-20 09:04:00,W000,file-srv-01,16.53,42.89,141488,94406,6508,14279,94,403,0,smbd,normal baseline,benign,benign,benign
M000025,2026-01-20 09:04:00,W000,mon-srv-01,23.02,62.62,154175,175881,11640,17312,122,412,0,prometheus,normal baseline,benign,benign,benign
M000024,2026-01-20 09:04:00,W000,portal-web-01,18.82,56.54,79598,92033,9552,9678,98,378,0,nginx,normal baseline,benign,benign,benign
