flow_id,start_time,end_time,window_id,src_host,src_ip,src_port,dst_ip,dst_port,protocol,service,bytes_out,bytes_in,packets_out,packets_in,duration_ms,flow_pattern,label,stage,attack_step,related_audit_events
BF000001,2026-01-20 09:00:05,2026-01-20 09:00:11,W000,mon-srv-01,10.20.1.41,43834,10.20.1.11,9100,TCP,METRIC,1560,3999,2,4,6000,metrics_scrape,benign,benign,benign,B000001
BF000004,2026-01-20 09:00:06,2026-01-20 09:00:09,W000,mon-srv-01,10.20.1.41,53550,10.20.1.31,9100,TCP,METRIC,1678,7312,2,7,3000,metrics_scrape,benign,benign,benign,B000004
BF000002,2026-01-20 09:00:07,2026-01-20 09:00:10,W000,mon-srv-01,10.20.1.41,57683,10.20.1.12,9100,TCP,METRIC,939,6689,1,5,3000,metrics_scrape,benign,benign,benign,B000002
BF000007,2026-01-20 09:00:07,2026-01-20 09:00:14,W000,mon-srv-01,10.20.1.41,44276,10.20.1.31,6514,TCP,SYSLOG,1959,8314,3,7,7000,log_collection,benign,benign,benign,B000008
BF000008,2026-01-20 09:00:07,2026-01-20 09:00:17,W000,ws-finance-01,10.20.1.11,50113,10.20.1.31,443,TCP,HTTPS,2034,38173,3,61,10000,portal_browsing,benign,benign,benign,B000009
BF000009,2026-01-20 09:00:08,2026-01-20 09:00:12,W000,ws-finance-01,10.20.1.11,43343,10.20.1.21,445,TCP,SMB,6440,286318,9,425,4000,file_server_access,benign,benign,benign,B000011
BF000003,2026-01-20 09:00:14,2026-01-20 09:00:18,W000,mon-srv-01,10.20.1.41,48165,10.20.1.21,9100,TCP,METRIC,1083,8990,1,8,4000,metrics_scrape,benign,benign,benign,B000003
BF000010,2026-01-20 09:00:15,2026-01-20 09:00:23,W000,ws-finance-01,10.20.1.11,49673,192.0.2.40,993,TCP,IMAPS,3759,21892,7,27,8000,mail_sync,benign,benign,benign,B000013
BF000005,2026-01-20 09:00:28,2026-01-20 09:00:37,W000,mon-srv-01,10.20.1.41,52504,10.20.1.11,6514,TCP,SYSLOG,1762,16934,2,24,9000,log_collection,benign,benign,benign,B000006
BF000006,2026-01-20 09:00:39,2026-01-20 09:00:46,W000,mon-srv-01,10.20.1.41,42131,10.20.1.12,6514,TCP,SYSLOG,1231,5100,2,5,7000,log_collection,benign,benign,benign,B000007
BF000011,2026-01-20 09:01:45,2026-01-20 09:01:57,W000,ws-dev-02,10.20.1.12,47746,10.20.1.31,22,TCP,SSH,6704,46236,9,47,12000,dev_ssh,benign,benign,benign,B000021
BF000012,2026-01-20 09:02:16,2026-01-20 09:02:19,W000,mon-srv-01,10.20.1.41,45191,10.20.1.11,9100,TCP,METRIC,1475,3719,2,3,3000,metrics_scrape,benign,benign,benign,B000025
BF000013,2026-01-20 09:02:16,2026-01-20 09:02:22,W000,mon-srv-01,10.20.1.41,58379,10.20.1.12,9100,TCP,METRIC,1724,4887,2,6,6000,metrics_scrape,benign,benign,benign,B000026
BF000015,2026-01-20 09:02:18,2026-01-20 09:02:24,W000,mon-srv-01,10.20.1.41,54952,10.20.1.31,9100,TCP,METRIC,1422,6117,2,5,6000,metrics_scrape,benign,benign,benign,B000028
BF000014,2026-01-20 09:02:22,2026-01-20 09:02:26,W000,mon-srv-01,10.20.1.41,59043,10.20.1.21,9100,TCP,METRIC,1799,7305,3,5,4000,metrics_scrape,benign,benign,benign,B000027
BF000016,2026-01-20 09:02:32,2026-01-20 09:03:04,W000,ws-dev-02,10.20.1.12,60423,192.0.2.30,443,TCP,HTTPS,3738,123854,7,152,32000,dev_repo_access,benign,benign,benign,B000030
BF000018,2026-01-20 09:03:26,2026-01-20 09:03:51,W000,file-srv-01,10.20.1.21,48692,10.20.1.41,873,TCP,RSYNC,47369,16049,44,12,25000,backup_sync,benign,benign,benign,B000038
BF000017,2026-01-20 09:03:31,2026-01-20 09:03:38,W000,ws-finance-01,10.20.1.11,59791,10.20.1.31,443,TCP,HTTPS,2661,17418,2,14,7000,portal_browsing,benign,benign,benign,B000036
BF000019,2026-01-20 09:04:11,2026-01-20 09:04:14,W000,mon-srv-01,10.20.1.41,42701,10.20.1.11,9100,TCP,METRIC,1663,8392,2,14,3000,metrics_scrape,benign,benign,benign,B000043
BF000020,2026-01-20 09:04:11,2026-01-20 09:04:15,W000,mon-srv-01,10.20.1.41,45229,10.20.1.12,9100,TCP,METRIC,1722,3338,2,3,4000,metrics_scrape,benign,benign,benign,B000044
BF000021,2026-01-20 09:04:21,2026-01-20 09:04:27,W000,mon-srv-01,10.20.1.41,55007,10.20.1.21,9100,TCP,METRIC,1604,3893,2,3,6000,metrics_scrape,benign,benign,benign,B000045
