event_id,is_attack_event,stage,is_removed_in_corrupted,attack_step,description
B000004,0,benign,0,benign,scrape node_exporter on portal-web-01
B000009,0,benign,0,benign,open internal portal page
B000003,0,benign,0,benign,scrape node_exporter on file-srv-01
B000010,0,benign,0,benign,update browser portal cache
B000011,0,benign,0,benign,normal document access
B000015,0,benign,0,benign,normal local development/test activity
B000012,0,benign,0,benign,autosave office document
B000006,0,benign,0,benign,collect syslog stream from ws-finance-01
B000001,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000013,0,benign,0,benign,imap mail synchronization
B000002,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000014,0,benign,0,benign,update mail cache
B004393,0,benign,0,benign,normal shared file read
B000016,0,benign,0,benign,normal smb/nfs shared file access
B004131,0,benign,0,benign,normal test file read
B000007,0,benign,0,benign,collect syslog stream from ws-dev-02
B004729,0,benign,0,benign,normal portal config read
B000017,0,benign,0,benign,normal internal https request
B000018,0,benign,0,benign,append benign portal access log
B000019,0,benign,0,benign,serve internal portal request
B000005,0,benign,0,benign,append log ingestion summary
B000008,0,benign,0,benign,collect syslog stream from portal-web-01
B005267,0,benign,0,benign,normal web access log append
B000020,0,benign,0,benign,append log ingestion summary
B004280,0,benign,0,benign,normal network sensor write
B004376,0,benign,0,benign,normal rsync log append
B000023,0,benign,0,benign,normal internal https request
B000024,0,benign,0,benign,append benign portal access log
B003881,0,benign,0,benign,normal web access log append
B000021,0,benign,0,benign,normal developer ssh to portal
B005476,0,benign,0,benign,normal metric wal write
B000022,0,benign,0,benign,normal developer ssh accepted
B004627,0,benign,0,benign,normal build command
B005523,0,benign,0,benign,desktop metadata update
B000032,0,benign,0,benign,normal smb/nfs shared file access
B000028,0,benign,0,benign,scrape node_exporter on portal-web-01
B000026,0,benign,0,benign,scrape node_exporter on ws-dev-02
B005038,0,benign,0,benign,normal test file read
B000025,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000027,0,benign,0,benign,scrape node_exporter on file-srv-01
B000029,0,benign,0,benign,append log ingestion summary
B005201,0,benign,0,benign,normal shared file read
B005582,0,benign,0,benign,desktop metadata update
B000033,0,benign,0,benign,normal internal https request
B004311,0,benign,0,benign,normal rsync log append
B000034,0,benign,0,benign,append benign portal access log
B004935,0,benign,0,benign,normal docker metadata read
B000030,0,benign,0,benign,normal package/source repository access
B000031,0,benign,0,benign,normal development file/cache update
B003758,0,benign,0,benign,normal rsync log append
B005217,0,benign,0,benign,browser cache read
B003556,0,benign,0,benign,normal metric wal write
B004862,0,benign,0,benign,normal docker metadata read
B005058,0,benign,0,benign,normal rsync log append
B004763,0,benign,0,benign,normal spreadsheet read
B004615,0,benign,0,benign,normal web access log append
B005173,0,benign,0,benign,desktop metadata update
B000035,0,benign,0,benign,append log ingestion summary
B000040,0,benign,0,benign,normal internal https request
B000041,0,benign,0,benign,append benign portal access log
B000042,0,benign,0,benign,serve internal portal request
B000038,0,benign,0,benign,backup metadata sync to monitoring server
B000039,0,benign,0,benign,normal backup manifest read
B000036,0,benign,0,benign,open internal portal page
B000037,0,benign,0,benign,update browser portal cache
B005517,0,benign,0,benign,normal spreadsheet read
B004966,0,benign,0,benign,normal metric wal write
B003957,0,benign,0,benign,normal rsync log append
B000047,0,benign,0,benign,append log ingestion summary
B003607,0,benign,0,benign,normal test file read
B000046,0,benign,0,benign,scrape node_exporter on portal-web-01
B000044,0,benign,0,benign,scrape node_exporter on ws-dev-02
B000051,0,benign,0,benign,normal internal https request
B000052,0,benign,0,benign,append benign portal access log
B000043,0,benign,0,benign,scrape node_exporter on ws-finance-01
B000053,0,benign,0,benign,benign log rotation
