# Target corrupted window: W006
Neighbor context C_t = ['W005', 'W006', 'W007']
Stage-1 inconsistency clues for target: corruption_score=15.180328959477244, unsupported_flow_count=3, unsupported_external_flow_count=1, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.8

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W005

### Observed corrupted audit log snippets
- B004044 | 2026-01-20 09:50:04 | W005 | host=ws-dev-02 user=u_dev process=docker | docker:2244@ws-dev-02 --read--> /var/lib/docker/containers/config.v2.json (file) | cmd=read | args=normal docker metadata read
- B000482 | 2026-01-20 09:50:09 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000483 | 2026-01-20 09:50:09 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000484 | 2026-01-20 09:50:09 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B004036 | 2026-01-20 09:50:11 | W005 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --read--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=read | args=normal test file read
- B004611 | 2026-01-20 09:50:15 | W005 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000493 | 2026-01-20 09:50:15 | W005 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005190 | 2026-01-20 09:50:16 | W005 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000481 | 2026-01-20 09:50:18 | W005 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000487 | 2026-01-20 09:50:18 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B000488 | 2026-01-20 09:50:19 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000486 | 2026-01-20 09:50:20 | W005 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B005461 | 2026-01-20 09:50:33 | W005 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
