# Target corrupted window: W021
Neighbor context C_t = ['W020', 'W021', 'W022']
Stage-1 inconsistency clues for target: corruption_score=18.870801988842032, unsupported_flow_count=5, unsupported_external_flow_count=3, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.5

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W020

### Observed corrupted audit log snippets
- B001896 | 2026-01-20 12:20:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B001895 | 2026-01-20 12:20:06 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001901 | 2026-01-20 12:20:06 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B001899 | 2026-01-20 12:20:08 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B001898 | 2026-01-20 12:20:10 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001902 | 2026-01-20 12:20:13 | W020 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- E0041 | 2026-01-20 12:20:14 | W020 | host=portal-web-01 user=svc_web process=portal-sync | portal-sync:4022@portal-web-01 --write--> /var/www/portal/.cache/.sync-state (file) | cmd=write | args=write helper state
- B001905 | 2026-01-20 12:20:16 | W020 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B001897 | 2026-01-20 12:20:17 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001906 | 2026-01-20 12:20:18 | W020 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B001910 | 2026-01-20 12:20:21 | W020 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
