# Target corrupted window: W024
Neighbor context C_t = ['W023', 'W024', 'W025']
Stage-1 inconsistency clues for target: corruption_score=4.556342762863228, unsupported_flow_count=1, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W023

### Observed corrupted audit log snippets
- B002179 | 2026-01-20 12:50:02 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B004791 | 2026-01-20 12:50:05 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002180 | 2026-01-20 12:50:09 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002182 | 2026-01-20 12:50:10 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002192 | 2026-01-20 12:50:11 | W023 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004772 | 2026-01-20 12:50:17 | W023 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002181 | 2026-01-20 12:50:18 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002186 | 2026-01-20 12:50:21 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002185 | 2026-01-20 12:50:25 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B002183 | 2026-01-20 12:50:30 | W023 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002189 | 2026-01-20 12:50:36 | W023 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
