event_id,timestamp,window_id,host,user,process,pid,ppid,src_entity,src_type,relation,dst_entity,dst_type,command,args,return_code,label,stage,attack_step,source,hypothesis_id,R_cross,R_self,reliability,supporting_side_views,supporting_observations
B000004,2026-01-20 09:00:03,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.31:9100,socket,connect,scrape node_exporter on portal-web-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000009,2026-01-20 09:00:07,W000,ws-finance-01,u_fin,firefox,2101,1,firefox:2101@ws-finance-01,process,connect,10.20.1.31:443,socket,connect,open internal portal page,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000003,2026-01-20 09:00:08,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.21:9100,socket,connect,scrape node_exporter on file-srv-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000010,2026-01-20 09:00:08,W000,ws-finance-01,u_fin,firefox,2101,1,firefox:2101@ws-finance-01,process,write,/home/u_fin/.cache/mozilla/portal-cache.sqlite,file,write,update browser portal cache,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000011,2026-01-20 09:00:08,W000,ws-finance-01,u_fin,gvfsd,1120,1,gvfsd:1120@ws-finance-01,process,read,/srv/share/finance/vendor_invoice.pdf,file,read,normal document access,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000015,2026-01-20 09:00:10,W000,ws-dev-02,u_dev,python3,2250,1,python3:2250@ws-dev-02,process,read,/home/u_dev/src/portal/tests/test_api.py,file,execute,normal local development/test activity,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000012,2026-01-20 09:00:12,W000,ws-finance-01,u_fin,libreoffice,2112,1,libreoffice:2112@ws-finance-01,process,write,/srv/share/finance/vendor_invoice.pdf,file,write,autosave office document,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000006,2026-01-20 09:00:13,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,connect,10.20.1.11:6514,socket,connect,collect syslog stream from ws-finance-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000001,2026-01-20 09:00:14,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.11:9100,socket,connect,scrape node_exporter on ws-finance-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000013,2026-01-20 09:00:15,W000,ws-finance-01,u_fin,thunderbird,2124,1,thunderbird:2124@ws-finance-01,process,connect,192.0.2.40:993,socket,connect,imap mail synchronization,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000002,2026-01-20 09:00:17,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.12:9100,socket,connect,scrape node_exporter on ws-dev-02,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000014,2026-01-20 09:00:17,W000,ws-finance-01,u_fin,thunderbird,2124,1,thunderbird:2124@ws-finance-01,process,write,/home/u_fin/.thunderbird/cache/index.sqlite,file,write,update mail cache,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004393,2026-01-20 09:00:26,W000,file-srv-01,svc_backup,smbd,1201,1,smbd:1201@file-srv-01,process,read,/srv/share/public/office_schedule.xlsx,file,read,normal shared file read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000016,2026-01-20 09:00:31,W000,file-srv-01,svc_backup,smbd,1201,1,smbd:1201@file-srv-01,process,read,/srv/share/projects/roadmap.md,file,read,normal smb/nfs shared file access,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004131,2026-01-20 09:00:37,W000,ws-dev-02,u_dev,python3,2232,1,python3:2232@ws-dev-02,process,read,/home/u_dev/src/portal/tests/test_api.py,file,read,normal test file read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000007,2026-01-20 09:00:39,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,connect,10.20.1.12:6514,socket,connect,collect syslog stream from ws-dev-02,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004729,2026-01-20 09:00:40,W000,portal-web-01,svc_web,uwsgi,1308,1,uwsgi:1308@portal-web-01,process,read,/var/www/portal/config.yaml,file,read,normal portal config read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000017,2026-01-20 09:00:41,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,accept,10.20.1.11:52364,socket,accept,normal internal https request,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000018,2026-01-20 09:00:42,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,write,/var/log/nginx/access.log,file,write,append benign portal access log,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000019,2026-01-20 09:00:43,W000,portal-web-01,svc_web,uwsgi,1308,1,uwsgi:1308@portal-web-01,process,read,/var/www/portal/app.py,file,read,serve internal portal request,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000005,2026-01-20 09:00:48,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,write,/var/log/collector/ingest.log,file,write,append log ingestion summary,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000008,2026-01-20 09:00:55,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,connect,10.20.1.31:6514,socket,connect,collect syslog stream from portal-web-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005267,2026-01-20 09:01:00,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,write,/var/log/nginx/access.log,file,write,normal web access log append,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000020,2026-01-20 09:01:17,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,write,/var/log/collector/ingest.log,file,write,append log ingestion summary,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004280,2026-01-20 09:01:27,W000,mon-srv-01,svc_mon,suricata,1420,1,suricata:1420@mon-srv-01,process,write,/var/log/suricata/eve.json,file,write,normal network sensor write,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004376,2026-01-20 09:01:29,W000,file-srv-01,svc_backup,rsyncd,1214,1,rsyncd:1214@file-srv-01,process,write,/var/log/rsyncd.log,file,write,normal rsync log append,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000023,2026-01-20 09:01:32,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,accept,10.20.1.41:58874,socket,accept,normal internal https request,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000024,2026-01-20 09:01:33,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,write,/var/log/nginx/access.log,file,write,append benign portal access log,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B003881,2026-01-20 09:01:36,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,write,/var/log/nginx/access.log,file,write,normal web access log append,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000021,2026-01-20 09:01:45,W000,ws-dev-02,u_dev,ssh,2201,1,ssh:2201@ws-dev-02,process,connect,10.20.1.31:22,socket,connect,normal developer ssh to portal,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005476,2026-01-20 09:01:45,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,write,/var/lib/prometheus/wal/000001,file,write,normal metric wal write,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000022,2026-01-20 09:01:46,W000,portal-web-01,svc_web,sshd,1324,1,sshd:1324@portal-web-01,process,accept,10.20.1.12:53135,socket,accept,normal developer ssh accepted,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004627,2026-01-20 09:01:51,W000,ws-dev-02,u_dev,bash,2250,1,bash:2250@ws-dev-02,process,execute,/usr/bin/make,file,execute,normal build command,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005523,2026-01-20 09:01:55,W000,ws-finance-01,u_fin,gvfsd,1120,1,gvfsd:1120@ws-finance-01,process,write,/run/user/1001/gvfs/metadata,file,write,desktop metadata update,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000032,2026-01-20 09:02:02,W000,file-srv-01,svc_backup,smbd,1201,1,smbd:1201@file-srv-01,process,read,/srv/share/dev/release_notes.txt,file,read,normal smb/nfs shared file access,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000028,2026-01-20 09:02:03,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.31:9100,socket,connect,scrape node_exporter on portal-web-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000026,2026-01-20 09:02:07,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.12:9100,socket,connect,scrape node_exporter on ws-dev-02,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005038,2026-01-20 09:02:08,W000,ws-dev-02,u_dev,python3,2232,1,python3:2232@ws-dev-02,process,read,/home/u_dev/src/portal/tests/test_api.py,file,read,normal test file read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000025,2026-01-20 09:02:09,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.11:9100,socket,connect,scrape node_exporter on ws-finance-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000027,2026-01-20 09:02:12,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,connect,10.20.1.21:9100,socket,connect,scrape node_exporter on file-srv-01,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000029,2026-01-20 09:02:13,W000,mon-srv-01,svc_mon,log_collector,1410,1,log_collector:1410@mon-srv-01,process,write,/var/log/collector/ingest.log,file,write,append log ingestion summary,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005201,2026-01-20 09:02:20,W000,file-srv-01,svc_backup,smbd,1201,1,smbd:1201@file-srv-01,process,read,/srv/share/public/office_schedule.xlsx,file,read,normal shared file read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005582,2026-01-20 09:02:21,W000,ws-finance-01,u_fin,gvfsd,1120,1,gvfsd:1120@ws-finance-01,process,write,/run/user/1001/gvfs/metadata,file,write,desktop metadata update,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000033,2026-01-20 09:02:23,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,accept,10.20.1.11:53339,socket,accept,normal internal https request,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004311,2026-01-20 09:02:23,W000,file-srv-01,svc_backup,rsyncd,1214,1,rsyncd:1214@file-srv-01,process,write,/var/log/rsyncd.log,file,write,normal rsync log append,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000034,2026-01-20 09:02:24,W000,portal-web-01,svc_web,nginx,1301,1,nginx:1301@portal-web-01,process,write,/var/log/nginx/access.log,file,write,append benign portal access log,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004935,2026-01-20 09:02:30,W000,ws-dev-02,u_dev,docker,2244,1,docker:2244@ws-dev-02,process,read,/var/lib/docker/containers/config.v2.json,file,read,normal docker metadata read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000030,2026-01-20 09:02:32,W000,ws-dev-02,u_dev,curl,2221,1,curl:2221@ws-dev-02,process,connect,192.0.2.30:443,socket,connect,normal package/source repository access,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B000031,2026-01-20 09:02:35,W000,ws-dev-02,u_dev,curl,2221,1,curl:2221@ws-dev-02,process,write,/home/u_dev/src/portal/requirements.txt,file,write,normal development file/cache update,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B003758,2026-01-20 09:02:37,W000,file-srv-01,svc_backup,rsyncd,1214,1,rsyncd:1214@file-srv-01,process,write,/var/log/rsyncd.log,file,write,normal rsync log append,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B005217,2026-01-20 09:02:39,W000,ws-finance-01,u_fin,firefox,2101,1,firefox:2101@ws-finance-01,process,read,/home/u_fin/.cache/mozilla/cookies.sqlite,file,read,browser cache read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B003556,2026-01-20 09:02:43,W000,mon-srv-01,svc_mon,prometheus,1401,1,prometheus:1401@mon-srv-01,process,write,/var/lib/prometheus/wal/000001,file,write,normal metric wal write,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
B004862,2026-01-20 09:02:47,W000,ws-dev-02,u_dev,docker,2244,1,docker:2244@ws-dev-02,process,read,/var/lib/docker/containers/config.v2.json,file,read,normal docker metadata read,0,benign,benign,benign,observed,,1.0,1.0,1.0,,
