# Window Context: W002

consistency_probability: 0.4858089089393616
transformer_corruption_score: 0.5141910910606384
clue_score: 0.817769228589362
corruption_score: 0.7418746942071811
log_side_similarity: 0.22136273980140686
unsupported_flow_count: 2
unsupported_external_flow_count: 1
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B000206 | 2026-01-20 09:20:01 | file-srv-01 | svc_backup | smbd | read | /srv/share/finance/budget_q1.xlsx | file | read | normal smb/nfs shared file access
- B000207 | 2026-01-20 09:20:02 | file-srv-01 | svc_backup | smbd | write | /srv/share/finance/budget_q1.xlsx.lock | file | write | benign lock/update file created by share service
- B000195 | 2026-01-20 09:20:04 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B000197 | 2026-01-20 09:20:06 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B000194 | 2026-01-20 09:20:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B004233 | 2026-01-20 09:20:10 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B000196 | 2026-01-20 09:20:14 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B005529 | 2026-01-20 09:20:18 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B000208 | 2026-01-20 09:20:24 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:53463 | socket | accept | normal internal https request
- B005041 | 2026-01-20 09:20:24 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B000209 | 2026-01-20 09:20:25 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B000199 | 2026-01-20 09:20:26 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B000204 | 2026-01-20 09:20:27 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B000205 | 2026-01-20 09:20:29 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B000200 | 2026-01-20 09:20:32 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B005520 | 2026-01-20 09:20:35 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B004130 | 2026-01-20 09:20:36 | file-srv-01 | svc_backup | rsyncd | write | /var/log/rsyncd.log | file | write | normal rsync log append
- B004347 | 2026-01-20 09:20:41 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B000198 | 2026-01-20 09:20:47 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B000202 | 2026-01-20 09:20:47 | ws-finance-01 | u_fin | gvfsd | read | /srv/share/finance/monthly_summary.xlsx | file | read | normal document access
- B000203 | 2026-01-20 09:20:49 | ws-finance-01 | u_fin | libreoffice | write | /srv/share/finance/monthly_summary_autosave.xlsx | file | write | autosave office document
- B000201 | 2026-01-20 09:20:50 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B004196 | 2026-01-20 09:20:56 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B004468 | 2026-01-20 09:20:56 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | normal web access log append
- B000216 | 2026-01-20 09:21:00 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:45271 | socket | accept | normal internal https request
- B000217 | 2026-01-20 09:21:01 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B000218 | 2026-01-20 09:21:02 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | serve internal portal request
- B005184 | 2026-01-20 09:21:06 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B004941 | 2026-01-20 09:21:14 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B000210 | 2026-01-20 09:21:15 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B003736 | 2026-01-20 09:21:27 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B000215 | 2026-01-20 09:21:32 | ws-dev-02 | u_dev | bash | read | /home/u_dev/src/portal/app/config.yaml | file | read | normal local development/test activity
- B000213 | 2026-01-20 09:21:41 | ws-dev-02 | u_dev | ssh | connect | 10.20.1.31:22 | socket | connect | normal developer ssh to portal
- B000214 | 2026-01-20 09:21:42 | portal-web-01 | svc_web | sshd | accept | 10.20.1.12:54436 | socket | accept | normal developer ssh accepted
- B000211 | 2026-01-20 09:21:47 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B000212 | 2026-01-20 09:21:48 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B005411 | 2026-01-20 09:21:48 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B003742 | 2026-01-20 09:21:50 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005389 | 2026-01-20 09:22:01 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
