# Window Context: W006

consistency_probability: 0.4774651825428009
transformer_corruption_score: 0.5225348174571991
clue_score: 0.9331879213443453
corruption_score: 0.8305246453725588
log_side_similarity: 0.09924273937940598
unsupported_flow_count: 3
unsupported_external_flow_count: 1
unsupported_metric_clue_count: 1
unsupported_metric_zsum: 4.8

## Observed audit events in corrupted logs
- B004846 | 2026-01-20 10:00:00 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B000573 | 2026-01-20 10:00:07 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B004992 | 2026-01-20 10:00:09 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B000571 | 2026-01-20 10:00:10 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B000583 | 2026-01-20 10:00:10 | ws-dev-02 | u_dev | python3 | execute | /home/u_dev/src/portal/app/config.yaml | file | read | normal local development/test activity
- B000578 | 2026-01-20 10:00:11 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B003634 | 2026-01-20 10:00:11 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B000579 | 2026-01-20 10:00:12 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B000570 | 2026-01-20 10:00:13 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B000576 | 2026-01-20 10:00:13 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B000572 | 2026-01-20 10:00:15 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B000574 | 2026-01-20 10:00:16 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B000581 | 2026-01-20 10:00:16 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B000582 | 2026-01-20 10:00:18 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B005355 | 2026-01-20 10:00:18 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005507 | 2026-01-20 10:00:35 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B000580 | 2026-01-20 10:00:37 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal document access
- B004673 | 2026-01-20 10:00:43 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005014 | 2026-01-20 10:00:43 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B000585 | 2026-01-20 10:00:44 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:49046 | socket | accept | normal internal https request
- B000586 | 2026-01-20 10:00:45 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B000575 | 2026-01-20 10:00:46 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B000587 | 2026-01-20 10:00:46 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/app.py | file | read | serve internal portal request
- B004689 | 2026-01-20 10:00:47 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B000577 | 2026-01-20 10:00:50 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B000584 | 2026-01-20 10:00:54 | file-srv-01 | svc_backup | smbd | read | /srv/share/projects/roadmap.md | file | read | normal smb/nfs shared file access
- B005535 | 2026-01-20 10:01:01 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B000591 | 2026-01-20 10:01:02 | ws-dev-02 | u_dev | bash | read | /var/lib/docker/tmp/build-context.tar | file | read | normal local development/test activity
- B000589 | 2026-01-20 10:01:10 | ws-dev-02 | u_dev | ssh | connect | 10.20.1.31:22 | socket | connect | normal developer ssh to portal
- B000590 | 2026-01-20 10:01:11 | portal-web-01 | svc_web | sshd | accept | 10.20.1.12:59319 | socket | accept | normal developer ssh accepted
- B004022 | 2026-01-20 10:01:14 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B000592 | 2026-01-20 10:01:30 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:49300 | socket | accept | normal internal https request
- B004469 | 2026-01-20 10:01:30 | file-srv-01 | svc_backup | rsyncd | write | /var/log/rsyncd.log | file | write | normal rsync log append
- B000593 | 2026-01-20 10:01:31 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B000588 | 2026-01-20 10:01:34 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B005539 | 2026-01-20 10:01:34 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B005239 | 2026-01-20 10:01:38 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B000595 | 2026-01-20 10:02:05 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B000597 | 2026-01-20 10:02:12 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B000598 | 2026-01-20 10:02:13 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B000594 | 2026-01-20 10:02:14 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B000596 | 2026-01-20 10:02:16 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B000601 | 2026-01-20 10:02:20 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:44204 | socket | accept | normal internal https request
- B000602 | 2026-01-20 10:02:21 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B004028 | 2026-01-20 10:02:24 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B000599 | 2026-01-20 10:02:30 | ws-dev-02 | u_dev | python3 | execute | /home/u_dev/src/portal/app/config.yaml | file | read | normal local development/test activity
- B000600 | 2026-01-20 10:02:32 | file-srv-01 | svc_backup | smbd | read | /srv/share/projects/roadmap.md | file | read | normal smb/nfs shared file access
- B004738 | 2026-01-20 10:02:34 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B004338 | 2026-01-20 10:02:57 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B000609 | 2026-01-20 10:03:26 | portal-web-01 | svc_web | nginx | accept | 10.20.1.11:57125 | socket | accept | normal internal https request
- B000610 | 2026-01-20 10:03:27 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B000611 | 2026-01-20 10:03:28 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | serve internal portal request
- B000607 | 2026-01-20 10:03:35 | file-srv-01 | svc_backup | backup-agent | connect | 10.20.1.41:873 | socket | connect | backup metadata sync to monitoring server
- B000604 | 2026-01-20 10:03:36 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B000605 | 2026-01-20 10:03:37 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B000608 | 2026-01-20 10:03:38 | file-srv-01 | svc_backup | backup-agent | read | /srv/share/.backup-manifest | file | read | normal backup manifest read
- B000603 | 2026-01-20 10:03:41 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
