# Window Context: W021

consistency_probability: 0.4826944172382355
transformer_corruption_score: 0.5173055827617645
clue_score: 0.9856082739916969
corruption_score: 0.8685326011842138
log_side_similarity: 0.1900624930858612
unsupported_flow_count: 5
unsupported_external_flow_count: 3
unsupported_metric_clue_count: 1
unsupported_metric_zsum: 4.5

## Observed audit events in corrupted logs
- B004056 | 2026-01-20 12:30:05 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B004985 | 2026-01-20 12:30:06 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B001990 | 2026-01-20 12:30:07 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B001993 | 2026-01-20 12:30:07 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B001991 | 2026-01-20 12:30:08 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B001994 | 2026-01-20 12:30:08 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B001995 | 2026-01-20 12:30:10 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B002000 | 2026-01-20 12:30:11 | ws-dev-02 | u_dev | python3 | execute | /var/lib/docker/tmp/build-context.tar | file | read | normal local development/test activity
- B001998 | 2026-01-20 12:30:12 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B003987 | 2026-01-20 12:30:13 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B001999 | 2026-01-20 12:30:14 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B005458 | 2026-01-20 12:30:17 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | normal web access log append
- B001988 | 2026-01-20 12:30:18 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B001989 | 2026-01-20 12:30:18 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B005236 | 2026-01-20 12:30:18 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B002002 | 2026-01-20 12:30:21 | portal-web-01 | svc_web | nginx | accept | 10.20.1.11:56622 | socket | accept | normal internal https request
- B004809 | 2026-01-20 12:30:21 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002003 | 2026-01-20 12:30:22 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002004 | 2026-01-20 12:30:23 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/app.py | file | read | serve internal portal request
- B001992 | 2026-01-20 12:30:30 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002001 | 2026-01-20 12:30:30 | file-srv-01 | svc_backup | smbd | read | /srv/share/dev/release_notes.txt | file | read | normal smb/nfs shared file access
- B005315 | 2026-01-20 12:30:33 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B003568 | 2026-01-20 12:30:46 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B001996 | 2026-01-20 12:30:50 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B001997 | 2026-01-20 12:30:51 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B004395 | 2026-01-20 12:31:00 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B002005 | 2026-01-20 12:31:02 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B003576 | 2026-01-20 12:31:08 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B004417 | 2026-01-20 12:31:10 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002008 | 2026-01-20 12:31:11 | portal-web-01 | svc_web | nginx | accept | 10.20.1.11:59045 | socket | accept | normal internal https request
- B004185 | 2026-01-20 12:31:11 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B002009 | 2026-01-20 12:31:12 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B005247 | 2026-01-20 12:31:13 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B004905 | 2026-01-20 12:31:18 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B002006 | 2026-01-20 12:31:29 | ws-dev-02 | u_dev | ssh | connect | 10.20.1.31:22 | socket | connect | normal developer ssh to portal
