# Window Context: W022

consistency_probability: 0.4838305711746216
transformer_corruption_score: 0.5161694288253784
clue_score: 0.8327808109687288
corruption_score: 0.7536279654328912
log_side_similarity: 0.24410319328308105
unsupported_flow_count: 2
unsupported_external_flow_count: 1
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B002095 | 2026-01-20 12:40:00 | ws-finance-01 | u_fin | updatedb | connect | 192.0.2.10:443 | socket | connect | benign package metadata check
- B005086 | 2026-01-20 12:40:00 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B002086 | 2026-01-20 12:40:02 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002083 | 2026-01-20 12:40:03 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B002091 | 2026-01-20 12:40:04 | ws-finance-01 | u_fin | gvfsd | read | /home/u_fin/Downloads/report.pdf | file | read | normal document access
- B002084 | 2026-01-20 12:40:05 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B002092 | 2026-01-20 12:40:06 | ws-finance-01 | u_fin | libreoffice | write | /home/u_fin/Downloads/report.pdf | file | write | autosave office document
- B002096 | 2026-01-20 12:40:06 | ws-finance-01 | u_fin | updatedb | write | /var/cache/apt/pkgcache.bin | file | write | benign package cache update
- B002093 | 2026-01-20 12:40:08 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B002094 | 2026-01-20 12:40:10 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B002090 | 2026-01-20 12:40:11 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B002085 | 2026-01-20 12:40:12 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B004470 | 2026-01-20 12:40:31 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002088 | 2026-01-20 12:40:32 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B002097 | 2026-01-20 12:40:34 | file-srv-01 | svc_backup | smbd | read | /srv/share/projects/roadmap.md | file | read | normal smb/nfs shared file access
- B002087 | 2026-01-20 12:40:35 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002098 | 2026-01-20 12:40:36 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:55409 | socket | accept | normal internal https request
- B002099 | 2026-01-20 12:40:37 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002089 | 2026-01-20 12:40:44 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B005050 | 2026-01-20 12:40:49 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005130 | 2026-01-20 12:40:51 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B003768 | 2026-01-20 12:40:53 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002100 | 2026-01-20 12:41:02 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002104 | 2026-01-20 12:41:21 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:55606 | socket | accept | normal internal https request
- B002105 | 2026-01-20 12:41:22 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B004416 | 2026-01-20 12:41:22 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B003570 | 2026-01-20 12:41:27 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B005277 | 2026-01-20 12:41:30 | file-srv-01 | svc_backup | rsyncd | write | /var/log/rsyncd.log | file | write | normal rsync log append
- B005354 | 2026-01-20 12:41:37 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B002101 | 2026-01-20 12:41:39 | ws-dev-02 | u_dev | ssh | connect | 10.20.1.31:22 | socket | connect | normal developer ssh to portal
- B002102 | 2026-01-20 12:41:40 | portal-web-01 | svc_web | sshd | accept | 10.20.1.12:46333 | socket | accept | normal developer ssh accepted
- B002103 | 2026-01-20 12:41:44 | ws-dev-02 | u_dev | bash | read | /home/u_dev/src/portal/app/config.yaml | file | read | normal local development/test activity
- B004495 | 2026-01-20 12:41:45 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B005026 | 2026-01-20 12:41:53 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B004425 | 2026-01-20 12:41:59 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B004247 | 2026-01-20 12:42:02 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/budget_q2.xlsx | file | read | normal spreadsheet read
- B002110 | 2026-01-20 12:42:03 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002106 | 2026-01-20 12:42:04 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B002109 | 2026-01-20 12:42:05 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002108 | 2026-01-20 12:42:06 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B003829 | 2026-01-20 12:42:09 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002107 | 2026-01-20 12:42:15 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B005148 | 2026-01-20 12:42:15 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B004564 | 2026-01-20 12:42:26 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B005171 | 2026-01-20 12:42:27 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B002111 | 2026-01-20 12:42:28 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B002112 | 2026-01-20 12:42:29 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B004277 | 2026-01-20 12:42:34 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B003703 | 2026-01-20 12:42:40 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B004500 | 2026-01-20 12:42:40 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | normal web access log append
- B002114 | 2026-01-20 12:42:41 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:42018 | socket | accept | normal internal https request
- B002115 | 2026-01-20 12:42:42 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B003798 | 2026-01-20 12:42:42 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002116 | 2026-01-20 12:42:43 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | serve internal portal request
- B002113 | 2026-01-20 12:42:44 | file-srv-01 | svc_backup | smbd | read | /srv/share/finance/budget_q1.xlsx | file | read | normal smb/nfs shared file access
- B005490 | 2026-01-20 12:42:50 | ws-dev-02 | u_dev | docker | read | /var/lib/docker/containers/config.v2.json | file | read | normal docker metadata read
- B003922 | 2026-01-20 12:42:51 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002119 | 2026-01-20 12:43:04 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:59212 | socket | accept | normal internal https request
- B002120 | 2026-01-20 12:43:05 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002117 | 2026-01-20 12:43:24 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B004670 | 2026-01-20 12:43:34 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | normal web access log append
- B004608 | 2026-01-20 12:43:40 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B002118 | 2026-01-20 12:43:41 | ws-dev-02 | u_dev | bash | read | /home/u_dev/src/portal/tests/test_api.py | file | execute | normal local development/test activity
- B004781 | 2026-01-20 12:43:45 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B004708 | 2026-01-20 12:43:53 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005469 | 2026-01-20 12:43:53 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002121 | 2026-01-20 12:44:06 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B004794 | 2026-01-20 12:44:12 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B002123 | 2026-01-20 12:44:15 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002124 | 2026-01-20 12:44:15 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002122 | 2026-01-20 12:44:18 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B005102 | 2026-01-20 12:44:23 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002129 | 2026-01-20 12:44:24 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:42225 | socket | accept | normal internal https request
- B002130 | 2026-01-20 12:44:25 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B003797 | 2026-01-20 12:44:26 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
