# Window Context: W028

consistency_probability: 0.2971559762954712
corruption_score: 0.7028440237045288
log_side_similarity: 0.14815327525138855
unsupported_flow_count: 0
unsupported_external_flow_count: 0
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B004337 | 2026-01-20 13:40:00 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002645 | 2026-01-20 13:40:02 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B002657 | 2026-01-20 13:40:03 | ws-dev-02 | u_dev | python3 | execute | /home/u_dev/src/portal/app/config.yaml | file | read | normal local development/test activity
- B005231 | 2026-01-20 13:40:03 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B002644 | 2026-01-20 13:40:10 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B004235 | 2026-01-20 13:40:10 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002646 | 2026-01-20 13:40:11 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002659 | 2026-01-20 13:40:12 | portal-web-01 | svc_web | nginx | accept | 10.20.1.11:43533 | socket | accept | normal internal https request
- B002660 | 2026-01-20 13:40:13 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002658 | 2026-01-20 13:40:14 | file-srv-01 | svc_backup | smbd | read | /srv/share/finance/vendor_invoice.pdf | file | read | normal smb/nfs shared file access
- B004817 | 2026-01-20 13:40:14 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002647 | 2026-01-20 13:40:15 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002650 | 2026-01-20 13:40:16 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B002653 | 2026-01-20 13:40:24 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B002648 | 2026-01-20 13:40:25 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002654 | 2026-01-20 13:40:26 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B002655 | 2026-01-20 13:40:28 | ws-finance-01 | u_fin | updatedb | connect | 192.0.2.10:443 | socket | connect | benign package metadata check
- B002656 | 2026-01-20 13:40:34 | ws-finance-01 | u_fin | updatedb | write | /var/cache/apt/pkgcache.bin | file | write | benign package cache update
- B005406 | 2026-01-20 13:40:34 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002652 | 2026-01-20 13:40:38 | ws-finance-01 | u_fin | gvfsd | read | /home/u_fin/Downloads/report.pdf | file | read | normal document access
- B004352 | 2026-01-20 13:40:38 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002649 | 2026-01-20 13:40:50 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B002651 | 2026-01-20 13:40:52 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B004222 | 2026-01-20 13:41:00 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B004869 | 2026-01-20 13:41:09 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B005182 | 2026-01-20 13:41:15 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B004459 | 2026-01-20 13:41:17 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B002662 | 2026-01-20 13:41:20 | ws-dev-02 | u_dev | ssh | connect | 10.20.1.31:22 | socket | connect | normal developer ssh to portal
- B002663 | 2026-01-20 13:41:21 | portal-web-01 | svc_web | sshd | accept | 10.20.1.12:57441 | socket | accept | normal developer ssh accepted
- B002664 | 2026-01-20 13:41:21 | ws-dev-02 | u_dev | python3 | execute | /var/lib/docker/tmp/build-context.tar | file | read | normal local development/test activity
- B002665 | 2026-01-20 13:41:30 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:51911 | socket | accept | normal internal https request
- B004537 | 2026-01-20 13:41:30 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002666 | 2026-01-20 13:41:31 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B004445 | 2026-01-20 13:41:38 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B002661 | 2026-01-20 13:41:47 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- E0053 | 2026-01-20 13:41:50 | ws-finance-01 | root | syswatch | write | /tmp/.session-x1 | file | write | update session marker after upload
- B004761 | 2026-01-20 13:41:56 | ws-dev-02 | u_dev | python3 | read | /home/u_dev/src/portal/tests/test_api.py | file | read | normal test file read
- B002678 | 2026-01-20 13:42:02 | portal-web-01 | svc_web | nginx | accept | 10.20.1.12:48968 | socket | accept | normal internal https request
- B002679 | 2026-01-20 13:42:03 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002680 | 2026-01-20 13:42:04 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | serve internal portal request
- B002667 | 2026-01-20 13:42:05 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B002669 | 2026-01-20 13:42:07 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002674 | 2026-01-20 13:42:10 | ws-dev-02 | u_dev | curl | connect | 192.0.2.30:443 | socket | connect | normal package/source repository access
- B002668 | 2026-01-20 13:42:13 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B002675 | 2026-01-20 13:42:13 | ws-dev-02 | u_dev | curl | write | /home/u_dev/src/portal/app/config.yaml | file | write | normal development file/cache update
- B002670 | 2026-01-20 13:42:18 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B003761 | 2026-01-20 13:42:18 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B002671 | 2026-01-20 13:42:21 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002672 | 2026-01-20 13:42:40 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B002673 | 2026-01-20 13:42:41 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B002676 | 2026-01-20 13:42:42 | file-srv-01 | svc_backup | smbd | read | /srv/share/finance/vendor_invoice.pdf | file | read | normal smb/nfs shared file access
- B002677 | 2026-01-20 13:42:43 | file-srv-01 | svc_backup | smbd | write | /srv/share/finance/vendor_invoice.pdf.lock | file | write | benign lock/update file created by share service
- B004511 | 2026-01-20 13:42:43 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B004561 | 2026-01-20 13:42:50 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B004706 | 2026-01-20 13:43:06 | ws-finance-01 | u_fin | gvfsd | write | /run/user/1001/gvfs/metadata | file | write | desktop metadata update
- B004370 | 2026-01-20 13:43:08 | mon-srv-01 | svc_mon | prometheus | write | /var/lib/prometheus/wal/000001 | file | write | normal metric wal write
- B004890 | 2026-01-20 13:43:10 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B002681 | 2026-01-20 13:43:28 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002682 | 2026-01-20 13:43:34 | ws-dev-02 | u_dev | python3 | execute | /var/lib/docker/tmp/build-context.tar | file | read | normal local development/test activity
- B004296 | 2026-01-20 13:43:35 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B004324 | 2026-01-20 13:43:36 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | normal web access log append
- B002683 | 2026-01-20 13:43:37 | portal-web-01 | svc_web | nginx | accept | 10.20.1.11:60483 | socket | accept | normal internal https request
- B002684 | 2026-01-20 13:43:38 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
