# Window Context: W030

consistency_probability: 0.26108306646347046
corruption_score: 0.7389169335365295
log_side_similarity: 0.03790830820798874
unsupported_flow_count: 0
unsupported_external_flow_count: 0
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B002834 | 2026-01-20 14:00:05 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.31:6514 | socket | connect | collect syslog stream from portal-web-01
- B002842 | 2026-01-20 14:00:05 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:45915 | socket | accept | normal internal https request
- B003753 | 2026-01-20 14:00:05 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002843 | 2026-01-20 14:00:06 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B002828 | 2026-01-20 14:00:07 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B002844 | 2026-01-20 14:00:07 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | serve internal portal request
- B002829 | 2026-01-20 14:00:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002830 | 2026-01-20 14:00:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B002838 | 2026-01-20 14:00:10 | ws-finance-01 | u_fin | thunderbird | connect | 192.0.2.40:993 | socket | connect | imap mail synchronization
- B002839 | 2026-01-20 14:00:12 | ws-finance-01 | u_fin | thunderbird | write | /home/u_fin/.thunderbird/cache/index.sqlite | file | write | update mail cache
- B002827 | 2026-01-20 14:00:14 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- B002837 | 2026-01-20 14:00:23 | ws-finance-01 | u_fin | libreoffice | read | /home/u_fin/docs/payroll_notes.docx | file | read | normal document access
- B002840 | 2026-01-20 14:00:23 | ws-dev-02 | u_dev | python3 | execute | /var/lib/docker/tmp/build-context.tar | file | read | normal local development/test activity
- B002831 | 2026-01-20 14:00:27 | mon-srv-01 | svc_mon | log_collector | write | /var/log/collector/ingest.log | file | write | append log ingestion summary
- B002841 | 2026-01-20 14:00:29 | file-srv-01 | svc_backup | smbd | read | /srv/share/projects/roadmap.md | file | read | normal smb/nfs shared file access
- B002833 | 2026-01-20 14:00:34 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B003784 | 2026-01-20 14:00:41 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005600 | 2026-01-20 14:00:43 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B002832 | 2026-01-20 14:00:44 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
- B002835 | 2026-01-20 14:00:45 | ws-finance-01 | u_fin | firefox | connect | 10.20.1.31:443 | socket | connect | open internal portal page
- B002836 | 2026-01-20 14:00:46 | ws-finance-01 | u_fin | firefox | write | /home/u_fin/.cache/mozilla/portal-cache.sqlite | file | write | update browser portal cache
- B004086 | 2026-01-20 14:00:46 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B004854 | 2026-01-20 14:00:49 | ws-finance-01 | u_fin | firefox | read | /home/u_fin/.cache/mozilla/cookies.sqlite | file | read | browser cache read
- B004701 | 2026-01-20 14:00:53 | mon-srv-01 | svc_mon | suricata | write | /var/log/suricata/eve.json | file | write | normal network sensor write
- B004718 | 2026-01-20 14:00:56 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
