# Window Context: W031

consistency_probability: 0.06447634100914001
corruption_score: 0.9355236291885376
log_side_similarity: -0.36770597100257874
unsupported_flow_count: 0
unsupported_external_flow_count: 0
unsupported_metric_clue_count: 0
unsupported_metric_zsum: 0.0

## Observed audit events in corrupted logs
- B002923 | 2026-01-20 14:10:02 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.11:9100 | socket | connect | scrape node_exporter on ws-finance-01
- E0054 | 2026-01-20 14:10:04 | ws-finance-01 | root | cron | spawn | syswatch:4890@ws-finance-01 | process | spawn | residual scheduled run
- B002929 | 2026-01-20 14:10:05 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.12:6514 | socket | connect | collect syslog stream from ws-dev-02
- B002925 | 2026-01-20 14:10:09 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.21:9100 | socket | connect | scrape node_exporter on file-srv-01
- B002924 | 2026-01-20 14:10:10 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.12:9100 | socket | connect | scrape node_exporter on ws-dev-02
- B004951 | 2026-01-20 14:10:12 | ws-dev-02 | u_dev | bash | execute | /usr/bin/make | file | execute | normal build command
- B005125 | 2026-01-20 14:10:12 | file-srv-01 | svc_backup | smbd | read | /srv/share/public/office_schedule.xlsx | file | read | normal shared file read
- B002926 | 2026-01-20 14:10:13 | mon-srv-01 | svc_mon | prometheus | connect | 10.20.1.31:9100 | socket | connect | scrape node_exporter on portal-web-01
- B004813 | 2026-01-20 14:10:13 | portal-web-01 | svc_web | uwsgi | read | /var/www/portal/config.yaml | file | read | normal portal config read
- B002938 | 2026-01-20 14:10:16 | portal-web-01 | svc_web | nginx | accept | 10.20.1.41:49896 | socket | accept | normal internal https request
- B002939 | 2026-01-20 14:10:17 | portal-web-01 | svc_web | nginx | write | /var/log/nginx/access.log | file | write | append benign portal access log
- B003512 | 2026-01-20 14:10:17 | ws-finance-01 | u_fin | updatedb | connect | 192.0.2.10:443 | socket | connect | normal software update check
- B002928 | 2026-01-20 14:10:18 | mon-srv-01 | svc_mon | log_collector | connect | 10.20.1.11:6514 | socket | connect | collect syslog stream from ws-finance-01
